Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Building,Abraj Al Bait,,21.418214,39.825608,985.2203925,,,Core Sim - Points of Interest,,,,
Building,Acropolis of Athens,,37.971986,23.726028,489.2281816,,,Core Sim - Points of Interest,,,,
Building,Al Hamra Tower,,29.379,47.993197,11.07024822,,,Core Sim - Points of Interest,,,,
Building,Al-Masjid an-Nabawi,,24.468333,39.610833,1976.243931,,,Core Sim - Points of Interest,,,,
Building,Al-Rifa'i Mosque,,30.032644,31.256858,117.8227109,,,Core Sim - Points of Interest,,,,
Building,American Airlines Arena,,25.781389,-80.188064,5.157732831,,,Core Sim - Points of Interest,,,,
Building,Amsterdam Centraal railway station,,52.379325,4.900394,47.01553831,,,Core Sim - Points of Interest,,,,
Building,Angkor Wat,,13.412456,103.866872,85.23045209,,,Core Sim - Points of Interest,,,,
Building,ArtScience Museum,,1.286125,103.859086,21.26348994,,,Core Sim - Points of Interest,,,,
Building,AT&T Stadium,,32.747928,-97.092864,791.401926,,,Core Sim - Points of Interest,,,,
Building,Atomium,,50.894925,4.341542,169.8149838,,,Core Sim - Points of Interest,,,,
Building,Avicii Arena,,59.293556,18.083236,196.4590931,,,Core Sim - Points of Interest,,,,
Building,Bagan,,21.161339,94.857825,245.677225,,,Core Sim - Points of Interest,,,,
Building,Bahia Pacifica,,8.977739,-79.509522,17.76669026,,,Core Sim - Points of Interest,,,,
Building,Bahir Dar Stadium,,11.584606,37.382853,5891.009742,,,Core Sim - Points of Interest,,,,
Building,Bank of China Building,,22.189861,113.5429,1.603926136,,,Core Sim - Points of Interest,,,,
Building,Bank of China Tower,,31.240297,121.498861,22.93970245,,,Core Sim - Points of Interest,,,,
Building,Beijing National Stadium,,39.991669,116.390564,146.7910198,,,Core Sim - Points of Interest,,,,
Building,Beijing Railway Station,,39.902236,116.420983,143.5073388,,,Core Sim - Points of Interest,,,,
Building,Bent Pyramid,,29.790253,31.209458,470.5590927,,,Core Sim - Points of Interest,,,,
Building,Bicsa Financial Center,,8.976156,-79.522458,13.4880012,,,Core Sim - Points of Interest,,,,
Building,Borg El Arab Stadium,,30.999439,29.729386,38.54986374,,,Core Sim - Points of Interest,,,,
Building,Brighton Palace Pier,,50.815,-0.136944,0,,,Core Sim - Points of Interest,,,,
Building,Broch of Mousa,,59.995261,-1.182133,12.87646848,,,Core Sim - Points of Interest,,,,
Building,Brooklyn Bridge,,40.706117,-73.996789,-0.336394971,,,Core Sim - Points of Interest,,,,
Building,Busan Tower,,35.101217,129.032289,108.990873,,,Core Sim - Points of Interest,,,,
Building,Cairo Tower,,30.045997,31.224322,70.38922047,,,Core Sim - Points of Interest,,,,
Lighthouse,Cape Brett Lighthouse,,-35.1753,174.332594,418.4909514,,,Core Sim - Points of Interest,,,,
Building,Casino Barrière,,30.038822,31.224469,57.48379133,,,Core Sim - Points of Interest,,,,
Building,Cathedral of Christ the Saviour,,55.744444,37.605556,428.4760219,,,Core Sim - Points of Interest,,,,
Building,Central Plaza,,22.279839,114.173708,5.620471003,,,Core Sim - Points of Interest,,,,
Building,Château d'Amboise,,47.413589,0.986303,253.9470834,,,Core Sim - Points of Interest,,,,
Building,Château de Chambord,,47.616342,1.516961,254.4866979,,,Core Sim - Points of Interest,,,,
Building,Château de Saumur,,47.256111,-0.0725,215.7947279,,,Core Sim - Points of Interest,,,,
Building,Château de Sully-sur-Loire,,47.767703,2.3752,387.5227674,,,Core Sim - Points of Interest,,,,
Building,Chiang Kai-Shek Memorial Hall,,25.034444,121.521667,18.44130222,,,Core Sim - Points of Interest,,,,
Building,Chichen Itza,,20.683056,-88.568611,124.9491113,,,Core Sim - Points of Interest,,,,
Building,China Media Group Headquarters,,39.913628,116.457503,130.5134757,,,Core Sim - Points of Interest,,,,
Building,China World Trade Center Tower III,,39.910933,116.452178,135.9536122,,,Core Sim - Points of Interest,,,,
Building,China Zun,,39.911622,116.460097,130.2355585,,,Core Sim - Points of Interest,,,,
Building,Christ the Redeemer,,-22.952008,-43.210139,2135.034665,,,Core Sim - Points of Interest,,,,
Building,Chrysler Headquarters & Technology Center,,42.654594,-83.229889,927.9766029,,,Core Sim - Points of Interest,,,,
Building,Church of Our Lady Mary of Zion (ancient),,14.130278,38.719442,7055.493678,,,Core Sim - Points of Interest,,,,
Building,Church of the Savior on Spilled Blood,,59.940006,30.329097,11.00977219,,,Core Sim - Points of Interest,,,,
Building,Cologne Cathedral,,50.941242,6.957906,182.9997569,,,Core Sim - Points of Interest,,,,
Building,Dhamek Stupa,,25.381308,83.0233,349.1951711,,,Core Sim - Points of Interest,,,,
Building,Dolmabahçe Palace,,41.039439,29.001667,3.934561785,,,Core Sim - Points of Interest,,,,
Building,Dur-Kurigalzu Ziggurat,,33.353622,44.202283,117.5987727,,,Core Sim - Points of Interest,,,,
Building,Egyptian Museum,,30.047811,31.233667,68.44426922,,,Core Sim - Points of Interest,,,,
Building,Eiffel Tower,,48.8583,2.29455,111.5311636,,,Core Sim - Points of Interest,,,,
Building,Empire State Building,,40.748436,-73.985661,60.81825361,,,Core Sim - Points of Interest,,,,
Building,Esplanade - Theatres on the Bay,,1.289703,103.855583,26.0535853,,,Core Sim - Points of Interest,,,,
Building,Estadio Monumental Antonio Vespucio Liberti,,-34.545356,-58.449722,13.94346988,,,Core Sim - Points of Interest,,,,
Building,F&F Tower,,8.982764,-79.5185,40.43614587,,,Core Sim - Points of Interest,,,,
Building,Faisal Mosque,,33.729631,73.037,1969.112349,,,Core Sim - Points of Interest,,,,
Building,Fasil Ghebbi,,12.6084,37.470108,7305.647315,,,Core Sim - Points of Interest,,,,
Building,First National Bank Stadium,,-26.234819,27.982639,5545.43981,,,Core Sim - Points of Interest,,,,
Landform,Fly Geyser,,40.859294,-119.332367,4012.838978,,,Core Sim - Points of Interest,,,,
Building,Giza Pyramid Complex,,29.975853,31.130628,573.5948201,,,Core Sim - Points of Interest,,,,
Building,Golden Temple,,31.619978,74.8765,824.1233188,,,Core Sim - Points of Interest,,,,
Building,Governors Island,,40.6914,-74.016078,33.00327747,,,Core Sim - Points of Interest,,,,
Building,Grand Hotel,,25.077333,121.525772,81.61689614,,,Core Sim - Points of Interest,,,,
Building,Grand Lisboa,,22.190669,113.543075,1.228825079,,,Core Sim - Points of Interest,,,,
Building,Grand Palais,,48.866097,2.312681,111.187603,,,Core Sim - Points of Interest,,,,
Building,Grand Promenade,,22.285178,114.224725,4.627901495,,,Core Sim - Points of Interest,,,,
Building,Great Mosque of Mecca,,21.422581,39.826286,947.5965628,,,Core Sim - Points of Interest,,,,
Building,Great Sphinx of Giza,,29.975261,31.137744,62.69829993,,,Core Sim - Points of Interest,,,,
Building,Hagia Sophia,,41.008547,28.979992,117.1572915,,,Core Sim - Points of Interest,,,,
Building,Highcliff,,22.265,114.184167,420.796966,,,Core Sim - Points of Interest,,,,
Building,Hohensalzburg Fortress,,47.795003,13.047222,1653.16149,,,Core Sim - Points of Interest,,,,
Building,Hong Kong Convention and Exhibition Centre,,22.284081,114.172883,6.56168,,,Core Sim - Points of Interest,,,,
Building,Hopewell Centre,,22.274514,114.1716,101.989489,,,Core Sim - Points of Interest,,,,
Building,Indonesia Convention Exhibition,,-6.300258,106.636606,124.0260872,,,Core Sim - Points of Interest,,,,
Building,International Commerce Centre,,22.30352949,114.1601599,6.664755364,,,Core Sim - Points of Interest,,,,
Building,Istanbul Ça?layan Justice Palace,,41.069194,28.980044,367.173134,,,Core Sim - Points of Interest,,,,
Building,Jin Mao Tower,,31.237369,121.501206,41.77769159,,,Core Sim - Points of Interest,,,,
Building,JW Marriott Panama,,8.975258,-79.506683,14.59090149,,,Core Sim - Points of Interest,,,,
Building,Keangnam Hanoi Landmark Tower,,21.017322,105.784058,30.15454143,,,Core Sim - Points of Interest,,,,
Building,Konark Sun Temple,,19.8875,86.094719,116.2389357,,,Core Sim - Points of Interest,,,,
Building,Les Invalides,,48.855028,2.312553,128.1280634,,,Core Sim - Points of Interest,,,,
Building,Lincoln Memorial,,38.88940615,-77.05018476,33.89349555,,,Core Sim - Points of Interest,,,,
Building,Lotus Temple,,28.553325,77.258606,862.6778946,,,Core Sim - Points of Interest,,,,
Building,Louvre Museum,,48.861111,2.336389,113.6068446,,,Core Sim - Points of Interest,,,,
Building,Lupu Bridge,,31.190556,121.475831,0,,,Core Sim - Points of Interest,,,,
Building,Luxembourg Palace,,48.848336,2.337222,141.8224515,,,Core Sim - Points of Interest,,,,
Building,Main Square,,50.061669,19.937253,692.1387441,,,Core Sim - Points of Interest,,,,
Building,Marina Bay Sands,,1.283269,103.859886,43.9012972,,,Core Sim - Points of Interest,,,,
Building,Megapolis Tower 1,,8.9773,-79.517678,11.84200246,,,Core Sim - Points of Interest,,,,
Building,Meidum Pyramid,,29.388464,31.157042,200.1989984,,,Core Sim - Points of Interest,,,,
Building,Metropolitan Cathedral of Rio De Janeiro,,-22.910769,-43.180703,28.80019871,,,Core Sim - Points of Interest,,,,
Building,MGM Macau,,22.185833,113.547225,8.231397796,,,Core Sim - Points of Interest,,,,
Building,Mid Valley Megamall,,3.117692,101.677222,105.511088,,,Core Sim - Points of Interest,,,,
Building,Mont Saint-Michel,,48.63627712,-1.511255744,132.0491793,,,Core Sim - Points of Interest,,,,
Building,Moscow State University,,55.702917,37.530797,654.8533311,,,Core Sim - Points of Interest,,,,
Building,National Centre for the Performing Arts,,39.903336,116.383614,150.6584196,,,Core Sim - Points of Interest,,,,
Building,National Diet Building,,35.675925,139.745036,92.40017458,,,Core Sim - Points of Interest,,,,
Building,National Memorial Cemetery of the Pacific,,21.313503,-157.847319,372.4050766,,,Core Sim - Points of Interest,,,,
Building,National Palace Museum,,25.101944,121.548614,118.3873562,,,Core Sim - Points of Interest,,,,
Building,Neuschwanstein Castle,,47.557589,10.749758,3033.2341,,,Core Sim - Points of Interest,,,,
Building,Oriental Pearl Tower,,31.241947,121.495242,88.26285492,,,Core Sim - Points of Interest,,,,
Building,Palace of Culture and Science,,52.231667,21.006389,382.5488175,,,Core Sim - Points of Interest,,,,
Building,Palace of Versailles,,48.804803,2.1203,458.3306847,,,Core Sim - Points of Interest,,,,
Building,Persian Gulf Complex,,29.756506,52.433678,5727.045037,,,Core Sim - Points of Interest,,,,
Building,Petronas Towers,,3.157794,101.71185,132.1345219,,,Core Sim - Points of Interest,,,,
Building,Pont du Gard,,43.947225,4.535556,77.48622842,,,Core Sim - Points of Interest,,,,
Building,Potala Palace,,29.657839,91.117225,12112.00743,,,Core Sim - Points of Interest,,,,
Building,Praca de Ferreira do Amaral,,22.188344,113.543547,6.440757269,,,Core Sim - Points of Interest,,,,
Building,Pyramid of Djoser,,29.871197,31.216583,278.9379069,,,Core Sim - Points of Interest,,,,
Building,Rungrado 1st of May Stadium,,39.049442,125.775269,33.62861,,,Core Sim - Points of Interest,,,,
Building,Ruwanwelisaya Stupa,,8.350022,80.396383,291.3518183,,,Core Sim - Points of Interest,,,,
Building,Sacré-Cœur Basilica,,48.886661,2.343058,409.514573,,,Core Sim - Points of Interest,,,,
Building,Shanghai IFC,,31.238989,121.497061,15.23555625,,,Core Sim - Points of Interest,,,,
Building,Shanghai Tower,,31.235617,121.501408,22.11746026,,,Core Sim - Points of Interest,,,,
Building,Shanghai World Financial Center,,31.236686,121.503144,62.03623467,,,Core Sim - Points of Interest,,,,
Building,Shinjuku Nomura Building,,35.692944,139.695344,131.8325,,,Core Sim - Points of Interest,,,,
Building,Sigiriya,,7.957097,80.759972,864.252033,,,Core Sim - Points of Interest,,,,
Building,Singapore Flyer,,1.289392,103.863258,28.21390488,,,Core Sim - Points of Interest,,,,
Building,Sompo Japan Building,,35.692744,139.696206,133.9145263,,,Core Sim - Points of Interest,,,,
Building,Space Needle,,47.620511,-122.349283,133.3294558,,,Core Sim - Points of Interest,,,,
Building,Statue of Liberty,,40.689231,-74.044544,16.4042,,,Core Sim - Points of Interest,,,,
Building,Sultan Ahmed Mosque,,41.005386,28.976825,114.8175729,,,Core Sim - Points of Interest,,,,
Building,Summer Palace,,39.9975,116.268897,210.4084202,,,Core Sim - Points of Interest,,,,
Building,Supreme Council of Universities,,30.027264,31.208578,61.29381421,,,Core Sim - Points of Interest,,,,
Building,Sydney Opera House,,-33.8568,151.214983,46.68785668,,,Core Sim - Points of Interest,,,,
Building,Taj Mahal,,27.174975,78.042117,619.0670642,,,Core Sim - Points of Interest,,,,
Building,Temple Mount,,31.777972,35.235808,2441.22931,,,Core Sim - Points of Interest,,,,
Building,Temple of Heaven,,39.882242,116.406464,150.6993199,,,Core Sim - Points of Interest,,,,
Building,The Arch,,22.303611,114.163056,-2.468015657,,,Core Sim - Points of Interest,,,,
Building,The O2,,51.502956,0.003211,19.64171165,,,Core Sim - Points of Interest,,,,
Building,The Pentagon,,38.870992,-77.055961,35.8573263,,,Core Sim - Points of Interest,,,,
Mountain,The Point, Panama City,,8.971011,-79.517906,18.18059525,,,Core Sim - Points of Interest,,,,
Building,The Rock of Guatape,,6.220314,-75.179475,6539.424595,,,Core Sim - Points of Interest,,,,
Building,The Shard,,51.504494,-0.086394,16.80568657,,,Core Sim - Points of Interest,,,,
Building,Tokyo Metropolitan Government Building,,35.689497,139.691533,124.5891055,,,Core Sim - Points of Interest,,,,
Building,Tokyo Skytree,,35.710047,139.810717,8.694786378,,,Core Sim - Points of Interest,,,,
Building,Tomb of Cyrus,,30.193889,53.167194,6049.995516,,,Core Sim - Points of Interest,,,,
Building,Torre Lago Panoramico,,22.188478,113.542106,2.028326962,,,Core Sim - Points of Interest,,,,
Building,Tower Bridge,,51.505511,-0.075358,0,,,Core Sim - Points of Interest,,,,
Building,Trocadero,,48.862247,2.288294,201.503705,,,Core Sim - Points of Interest,,,,
Mountain,Uluru,,-25.34385,131.033933,2766.045286,,,Core Sim - Points of Interest,,,,
Building,Vrelo Bune,,43.256864,17.901231,218.0271769,,,Core Sim - Points of Interest,,,,
Building,Wat Pho,,13.746542,100.493258,10.6238102,,,Core Sim - Points of Interest,,,,
Building,Westerkerk,,52.374469,4.883883,13.31702035,,,Core Sim - Points of Interest,,,,
Building,Wilanów Palace,,52.165275,21.090278,289.4028934,,,Core Sim - Points of Interest,,,,
Building,Wynn Macau,,22.187936,113.547736,3.486020392,,,Core Sim - Points of Interest,,,,
Building,Yokohama Landmark Tower,,35.454564,139.631486,31.455969,,,Core Sim - Points of Interest,,,,
Building,Yoyogi National Gymnasium,,35.667628,139.700142,117.9322709,,,Core Sim - Points of Interest,,,,
Building,Zifeng Tower,,32.062472,118.778061,54.48035542,,,Core Sim - Points of Interest,,,,
Building,Ziggurat of Ur,,30.962681,46.103161,57.46986168,,,Core Sim - Points of Interest,,,,